document_sha256,occurrences,instruction_generation_rows,instruction_generation_ifeval_rows,languages,document_chars,content_group,marker_stratum,restrictive_notice,open_licence_marker,public_domain_marker,government_copyright_marker,copyright_marker,classification_tied,script_group,domains
2f87f3fb1d12a645cd7418defc2711465473f75dcd7cb421a36c50e1114efdec,3,2,1,English,2335,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
7cebe2ff15bf6f456ba115983204605237289fc56fa2470bde633544b538b979,3,2,1,English,11398,government/legal/procurement,no_explicit_marker,False,False,False,False,False,True,latin_or_other,
0015dc7b5c84fe7c0b992b882671748fc80273888d6527c7fc6468f0b393a58a,2,2,0,English,10543,manual/technical documentation,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
002536d389d16ed1cba4c70d36db77e4e5ea7ef92fe96a469dc794621ed1f5b2,2,2,0,German,3553,unclassified/mixed,generic_copyright_or_bibliographic_marker,False,False,False,False,True,False,latin_or_other,
003f383b9cb35cf695fcd4861662e08adc653cf812229a92e904f403ec842fd2,2,2,0,English,1665,education/course/textbook,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
0093790cbc69d7e24af535cc42238d42920977a7727dc88d933402a383948679,2,2,0,English,16743,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
009e11f83e856da4806a5ad56986bea2de86ddf9b40746bb98f27f78753a06f6,2,2,0,English,6375,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
00d1ae9f6a3561f12efe804fdfb8ff4f11038943ffb7f01be3ae1d8c6c1e6161,2,2,0,Spanish,3797,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
011025066b6e83b5b3cefe112084c3e1051156aa780381d2757abe66491bc213,2,2,0,Italian,5154,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
013b08baf9c4bec23690ca166f161d17daa9b4b174aab516ba8a11daa123c177,2,2,0,English,5913,scholarly/research,no_explicit_marker,False,False,False,False,False,False,latin_or_other,dataromas.com;equalaffection.com;orissatimes.net;viral-status.com
013e965dd8e9823cbb4d5c118a7cc13e47139bbf6d79abc83ec59613cefba59c,2,2,0,Spanish,4966,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
014bade9ec9c8235926ea76d087b5f67ead6e38f8a5e1e7c0b6c59964b626c82,2,2,0,English,15611,government/legal/procurement,no_explicit_marker,False,False,False,False,False,True,latin_or_other,
01675447108ab0d847be61ceb4411bb15a3ec01ef403f2e4dedf7ac36015247d,2,2,0,Spanish,2332,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,idp.cimmyt.org
0177a64e91b6df6ba10c2455c714dd778b6bf8aac6a4a4df2066f8dbcbdd7009,2,2,0,English,3922,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
0184562da044c3794e4a946f2ef9788ca0c8ffa905fa0d6377aac886310511ed,2,2,0,Spanish,3288,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
