source_offset,source_id,content_group,marker_stratum,restrictive_notice,open_licence_marker,public_domain_marker,government_copyright_marker,copyright_marker,first_marker_offset,marker_within_initial_120k,classification_tied,script_group,prompt_chars,domains
0,23406777edfc2df1fe4301020636f6a617339df38ea1f5e2,books/literary/publisher,explicit_restrictive_notice,True,False,False,False,True,120,True,False,latin_or_other,256102,ftp.sas.com;support.sas.com;tshf.sas.com;wiki.mozilla.org
4,34263eba171c295062af45fbc3b151db52bb5a08cc360440,books/literary/publisher,explicit_restrictive_notice,True,False,False,False,True,131,True,False,latin_or_other,249745,
5,ad8973d6514ee0dcd6ffac25520fe014ea192065a9234a7c,government/legal/procurement,mixed_restrictive_and_open_or_public,True,False,True,False,True,37122,True,True,latin_or_other,61566,afge171.org;businessinsider.com;cashmoneylife.com;content.usatoday.com;cryptome.org;csmonitor.com;dailymail.co.uk;economix.blogs.nytimes.com;en.wikipedia.org;english.aljazeera.net;foxnews.com;globalpost.com;goforward.bm23.com;huffingtonpost.com;myoshaadvisor.info;newsweek.com;newyorker.com;nleomf.com;nyc.gov;nydailynews.com;nymag.com;nypd.police-memorial.com;nypost.com;nytimes.com;odmp.org;our.homewithgod.com;policeone.com;reuters.com;thedailynewsegypt.com;washingtonpost.com;wharz.com
12,8cfcf1e87a49e5ce251748b7ff98cbdff4c0734568263cf4,corporate/financial/ESG,generic_copyright_or_bibliographic_marker,False,False,False,False,True,82444,True,False,latin_or_other,154975,
17,8ddf36a6e924450cf5d44e9a969a41c932436ae278f5f490,government/legal/procurement,explicit_restrictive_notice,True,False,False,False,True,65419,True,False,han,66292,dena.de
20,2bbbeddfe3f51c61aae01b678b9e423050ada186a559842b,books/literary/publisher,explicit_restrictive_notice,True,False,False,False,True,1483,True,False,latin_or_other,78693,adamsmedia.com
29,39d8e5c4212bffb068a73f4730305b3380d0e986d2dd186d,government/legal/procurement,explicit_restrictive_notice,True,False,False,False,True,730,True,False,latin_or_other,57912,976-tuna.com;bigbearmarina.com;bishopvisitor.com;bonellipark.org;camplakepiru.com;castaiclake.com;dfw.ca.gov;dixonlake.com;dvmarina.com;fishinglakes.com;gvlfishing.com;jessranchlakesnews.com;kenssport.com;kernriverflyfishing.com;lagunaniguellake.com;lakecuyamaca.org;lakehemetcampground.com;lakejennings.org;lakemohavestripers.com;lastchancetackle.com;martinezlake.com;nacimientoresort.com;nrm.dfg.ca.gov;outdoornewsservice.com;poway.org;sandiego.gov;sbparks.org;sierradrifters.com;thetroutfly.com;williamsboatandtackle.com
34,4715aacd3a4c6cb6191f6b5b84b91700c4bad64058330250,news/blog/general web,generic_copyright_or_bibliographic_marker,False,False,False,False,True,365,True,False,latin_or_other,44432,
42,9917713a9aa6bfba6fb8a358bc09a1d28442d10f6ec4f13d,government/legal/procurement,generic_copyright_or_bibliographic_marker,False,False,False,False,True,27430,True,False,han,72956,
43,ca00c05a08f7394e16fb875ccb0eeb94892359ab4e53f86c,scholarly/research,explicit_restrictive_notice,True,False,False,False,True,93508,True,False,latin_or_other,94724,accesscopyright.ca;playwrightscanada.com;theatrewhynot.org
68,26ddd5a4a58790a0a99ddba892e7f62b240242e223ae114b,software/code/technical-QA,generic_copyright_or_bibliographic_marker,False,False,False,False,True,29727,True,False,latin_or_other,30476,adminlte.io;cdn.jsdelivr.net;code.ionicframework.com;fonts.googleapis.com;form.hairhub.org;stackpath.bootstrapcdn.com
69,10970040571d761b3adefaf5779e5fbc014bcf26858f3652,books/literary/publisher,explicit_restrictive_notice,True,False,False,False,True,78,True,False,latin_or_other,99670,historypress.net
73,fd87c8b96af85517bbc04fb3f5b59e68fddefc7fde666951,books/literary/publisher,generic_copyright_or_bibliographic_marker,False,False,False,False,True,500,True,False,latin_or_other,193942,barbercosmo.ca.gov;bppe.ca.gov;bppe.ca.govunresolved;bridgesbeautycollege.com;ed.gov;naccas.orgw;sos.ca.gov;studentaid.ed.gov;studentloans.gov
78,f39a81bcd9ea8c65d5cb3b9c88e7dad933cc4330f030d4ba,books/literary/publisher,mixed_restrictive_and_open_or_public,True,True,False,False,True,417,True,True,latin_or_other,178392,bcie.org;bndes.gov.br;bu.edu;cdb.com.cn;cdp.net;climatecasechart.com;climatefinancelab.org;climateinvestmentfunds.org;climatepolicyinitiative.org;dbsa.org;documents.worldbank.org;doi.org;ec.europa.eu;eib.org;fsb-tcfd.org;gain.nd.edu;germanwatch.org;globalfinancialgovernance.org;greenclimate.fund;i4ce.org;idfc.org;ipcc.ch;kdb.co.kr;kfw-entwicklungsbank.de;kfw.de;mainstreamingclimate.org;nama-facility.org;odi.org;oecd-ilibrary.org;openknowledge.worldbank.org;reseauactionclimat.org;s3.amazonaws.com;scafenergy.org;thecostaricanews.com;undp.org;unepfi.org;unfccc.int
86,6b37a407c1c078388ed1efd8ee511fbaed7d91c5e4d3109f,public-domain/library,explicit_public_domain_marker,False,False,True,False,True,828,True,False,latin_or_other,47900,pgdp.net
89,58df716639375c8cea4187e5d15038478399b585c42179ea,books/literary/publisher,explicit_restrictive_notice,True,False,False,False,True,562,True,False,latin_or_other,114103,club-internet.fr;randomhouse.com;vintagebooks.com
102,1d36cea639f84ef56590e83fac0fba2e3b8c5c313b76f50a,government/legal/procurement,generic_copyright_or_bibliographic_marker,False,False,False,False,True,1681,True,True,latin_or_other,138817,26magnet.co.jp;ause.net;bricklin.com;chusho.meti.go.jp;crito.uci.edu;dx.doi.org;ecommerce-awards.co.uk;europa.eu.int;hicss.hawaii.edu;itr.gov.au;learndirect-business.co.uk;noie.gov.au;oecd.org;sba.gov;strategis.ic.gc.ca;westcountryviolins.com
104,077d0fdcbb80014f0ac5b29fdd9afb231247945ec0c619ac,books/literary/publisher,generic_copyright_or_bibliographic_marker,False,False,False,False,True,214399,False,True,latin_or_other,214614,
110,95255ebfb924cfda0624e7371347ee32ecd15bfeea195e10,books/literary/publisher,explicit_restrictive_notice,True,False,False,False,True,103710,True,False,latin_or_other,105077,harlequin.com
112,ee49b0e078f7361802423d5a7a9de0e7c1c686c832932b79,books/literary/publisher,explicit_restrictive_notice,True,False,False,False,True,63460,True,False,latin_or_other,64662,crappypictures.com;harlequin.com
133,38cb3af0917fb65391618d6e467a9493a0754ebf0c147dc4,books/literary/publisher,explicit_restrictive_notice,True,False,False,False,True,40,True,False,latin_or_other,31554,
141,f9a24f2f32dfa059b3001fd1c77b505a2036921f590f7697,books/literary/publisher,explicit_restrictive_notice,True,False,False,False,True,86145,True,True,latin_or_other,88352,currency.com.au;integraldms.com
145,8600f77051ce35ecfc3d69c04aa6833931b427db1eee756c,books/literary/publisher,explicit_restrictive_notice,True,False,False,False,True,50,True,False,latin_or_other,48304,villard.com
150,37a4a92255d73673a72e294dc1036780a954eed7ebdace96,software/code/technical-QA,generic_copyright_or_bibliographic_marker,False,False,False,False,True,3699,True,False,latin_or_other,25882,ignite.apache.org;maven.apache.org;w3.org
154,d86e43ba8ae90a06fc6d2f3127b7d664a5a3377bffbb2b0b,scholarly/research,explicit_open_licence_marker,False,True,False,False,True,1967,True,False,latin_or_other,44169,doi.org;ensembl.org;ncbi.nlm.nih.gov;repeatmasker.org
159,d364c03df31a8d0fbd08288ad28f3a1b00f1ea4c3a5a8785,books/literary/publisher,generic_copyright_or_bibliographic_marker,False,False,False,False,True,74690,True,False,latin_or_other,75938,cedro.org;megustaleer.com;megustaleerebooks.com
164,a20c5f6f9eda036ebbe55cfafd74c454a0027c8c8e6bfd19,public-domain/library,explicit_public_domain_marker,False,False,True,False,True,792,True,False,latin_or_other,102685,pgdp.net
177,784e1dcee6d935d12eb21a613375e732effa4e98b7176ab5,government/legal/procurement,generic_copyright_or_bibliographic_marker,False,False,False,False,True,28571,True,False,han,74132,
181,23702a5ec3230c9f0c3844c2a8db75922c934a664ef7bddf,books/literary/publisher,explicit_restrictive_notice,True,False,False,False,True,37,True,False,latin_or_other,97109,doverpublications.com
186,bb7e78e7967cbd17e71e6361b9921f6c616b255320717531,public-domain/library,explicit_public_domain_marker,False,False,True,False,True,22794,True,False,latin_or_other,85248,pgdp.net
196,8fc2a89b9420c438e6015a05fb6670a5c8f745b57fcb0469,government/legal/procurement,explicit_restrictive_notice,True,False,False,False,True,158,True,False,latin_or_other,164222,beheco.oxfordjournals.org;birdata.com.au;birds.cornell.edu;bmad.com.au;dse.vic.gov.au;environment.gov.au;environment.nsw.gov.au;iucnredlist.org;jstor.org;nccnsw.org.au;planning.nsw.gov.au;rfs.nsw.gov.au;ro.uow.edu.au;threatenedspecies.environment.nsw.gov.au;unesco.org;weeds.gov.au;worldbirdnames.org
198,68864a8849b1a93a09645f1687b29628e5929555ed20d1f4,software/code/technical-QA,generic_copyright_or_bibliographic_marker,False,False,False,False,True,52308,True,True,latin_or_other,54774,
217,7a1e1275af1a3481ee5c1be4f576569f5c8a2cd24e99cc7d,government/legal/procurement,explicit_restrictive_notice,True,False,False,False,True,112059,True,False,latin_or_other,153577,upnrhm.gov.inemail
228,d84d73f0f34531b8ad9260c6d701f26501bc7b7dcb5cd22d,scholarly/research,generic_copyright_or_bibliographic_marker,False,False,False,False,True,411,True,False,latin_or_other,237324,athena.ecs.csus.edu;behance.net;dribbble.com;humanfactors.com;material.angular.io;nngroup.com;usability.gov;uxmatters.com
