node_id,computed_status,is_root,required_children,affected_effective_sources
code:rlve-gym,cleared,no,0,hf:allenai/verifiable-reasoning-filtered-gpt-41;hf:allenai/verifiable-reasoning-filtered-o4-mini
component:dfm-dyna:agentic-code,cleared,no,4,hf:danish-foundation-models/dfm-dyna-instruct
component:dfm-dyna:apertus,cleared,no,1,hf:danish-foundation-models/dfm-dyna-instruct
component:dfm-dyna:da-refusals,cleared,no,1,hf:danish-foundation-models/dfm-dyna-instruct
component:dfm-dyna:danish-verifiable-reasoning,cleared,no,2,hf:danish-foundation-models/dfm-dyna-instruct
component:dfm-dyna:ifbench-train,cleared,no,2,hf:danish-foundation-models/dfm-dyna-instruct
component:dfm-dyna:mt-da-deepseek,cleared,no,2,hf:danish-foundation-models/dfm-dyna-instruct
component:dfm-dyna:translation-100k,cleared,no,2,hf:danish-foundation-models/dfm-dyna-instruct
component:dfm-dyna:when2call,cleared,no,1,hf:danish-foundation-models/dfm-dyna-instruct
component:dfm-dyna:wiki-instruct-da,cleared,no,2,hf:danish-foundation-models/dfm-dyna-instruct
component:dfm-dyna:wildchat-qwen,cleared,no,2,hf:danish-foundation-models/dfm-dyna-instruct
component:dolci-puzzle:countdownequal,cleared,no,0,hf:allenai/Dolci-Instruct-SFT;hf:allenai/Dolci-Instruct-SFT-No-Tools;hf:danish-foundation-models/dfm-dyna-instruct;hf:synquid/danish-verifiable-reasoning
component:dolci-puzzle:cryptarithmetic,cleared,no,0,hf:allenai/Dolci-Instruct-SFT;hf:allenai/Dolci-Instruct-SFT-No-Tools;hf:danish-foundation-models/dfm-dyna-instruct;hf:synquid/danish-verifiable-reasoning
component:dolci-puzzle:futoshikipuzzle,cleared,no,0,hf:allenai/Dolci-Instruct-SFT;hf:allenai/Dolci-Instruct-SFT-No-Tools;hf:danish-foundation-models/dfm-dyna-instruct;hf:synquid/danish-verifiable-reasoning
component:dolci-puzzle:hitoripuzzle,cleared,no,0,hf:allenai/Dolci-Instruct-SFT;hf:allenai/Dolci-Instruct-SFT-No-Tools;hf:danish-foundation-models/dfm-dyna-instruct;hf:synquid/danish-verifiable-reasoning
component:dolci-puzzle:jugpuzzle,cleared,no,0,hf:allenai/Dolci-Instruct-SFT;hf:allenai/Dolci-Instruct-SFT-No-Tools;hf:danish-foundation-models/dfm-dyna-instruct;hf:synquid/danish-verifiable-reasoning
component:dolci-puzzle:kakurasu,cleared,no,0,hf:allenai/Dolci-Instruct-SFT;hf:allenai/Dolci-Instruct-SFT-No-Tools;hf:danish-foundation-models/dfm-dyna-instruct;hf:synquid/danish-verifiable-reasoning
component:dolci-puzzle:knightsandknaves,cleared,no,0,hf:allenai/Dolci-Instruct-SFT;hf:allenai/Dolci-Instruct-SFT-No-Tools;hf:danish-foundation-models/dfm-dyna-instruct;hf:synquid/danish-verifiable-reasoning
component:dolci-puzzle:numbrix,cleared,no,0,hf:allenai/Dolci-Instruct-SFT;hf:allenai/Dolci-Instruct-SFT-No-Tools;hf:danish-foundation-models/dfm-dyna-instruct;hf:synquid/danish-verifiable-reasoning
component:dolci-puzzle:setsplitting,cleared,no,0,hf:allenai/Dolci-Instruct-SFT;hf:allenai/Dolci-Instruct-SFT-No-Tools;hf:danish-foundation-models/dfm-dyna-instruct;hf:synquid/danish-verifiable-reasoning
component:dolci-puzzle:skyscraperpuzzle,cleared,no,0,hf:allenai/Dolci-Instruct-SFT;hf:allenai/Dolci-Instruct-SFT-No-Tools;hf:danish-foundation-models/dfm-dyna-instruct;hf:synquid/danish-verifiable-reasoning
component:dolci-puzzle:starbattle,cleared,no,0,hf:allenai/Dolci-Instruct-SFT;hf:allenai/Dolci-Instruct-SFT-No-Tools;hf:danish-foundation-models/dfm-dyna-instruct;hf:synquid/danish-verifiable-reasoning
component:dolci-puzzle:zebralogics,cleared,no,0,hf:allenai/Dolci-Instruct-SFT;hf:allenai/Dolci-Instruct-SFT-No-Tools;hf:danish-foundation-models/dfm-dyna-instruct;hf:synquid/danish-verifiable-reasoning
component:dolci-toolu:bfclv3-decontaminated,cleared,no,4,hf:allenai/Dolci-Instruct-SFT;hf:allenai/Dolci-Instruct-SFT-Tool-Use
component:dolci-toolu:deepresearch-drv4,cleared,no,7,hf:allenai/Dolci-Instruct-SFT;hf:allenai/Dolci-Instruct-SFT-Tool-Use
component:dolci-toolu:s2-m3,cleared,no,2,hf:allenai/Dolci-Instruct-SFT;hf:allenai/Dolci-Instruct-SFT-Tool-Use
component:dolci-toolu:s2-m4v2,cleared,no,2,hf:allenai/Dolci-Instruct-SFT;hf:allenai/Dolci-Instruct-SFT-Tool-Use
component:dolci-toolu:s2-m5v2,cleared,no,2,hf:allenai/Dolci-Instruct-SFT;hf:allenai/Dolci-Instruct-SFT-Tool-Use
component:euroblocks:derived-seeds,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct
component:euroblocks:embedded-seeds,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct
component:longalign:books,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct
component:longalign:corporate,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct
component:longalign:education,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct
component:longalign:encyclopedia,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct
component:longalign:government,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct
component:longalign:manuals,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct
component:longalign:news-web,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct
component:longalign:public-domain-candidates,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct
component:longalign:scholarly,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct
component:longalign:software-qa,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct
component:longalign:unknown,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct
component:mot:code,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct
component:mot:math,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct
component:mot:science,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct
component:openhermes:airoboros,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct;hf:schneiderkamplab/dfm8-openhermes-da;hf:schneiderkamplab/dfm8-openhermes-en
component:openhermes:camelai,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct;hf:schneiderkamplab/dfm8-openhermes-da;hf:schneiderkamplab/dfm8-openhermes-en
component:openhermes:caseus,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct;hf:schneiderkamplab/dfm8-openhermes-da;hf:schneiderkamplab/dfm8-openhermes-en
component:openhermes:chatbot-arena,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct;hf:schneiderkamplab/dfm8-openhermes-da;hf:schneiderkamplab/dfm8-openhermes-en
component:openhermes:cogstack,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct;hf:schneiderkamplab/dfm8-openhermes-da;hf:schneiderkamplab/dfm8-openhermes-en
component:openhermes:collective,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct;hf:schneiderkamplab/dfm8-openhermes-da;hf:schneiderkamplab/dfm8-openhermes-en
component:openhermes:cot-alpaca,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct;hf:schneiderkamplab/dfm8-openhermes-da;hf:schneiderkamplab/dfm8-openhermes-en
component:openhermes:econ,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct;hf:schneiderkamplab/dfm8-openhermes-da;hf:schneiderkamplab/dfm8-openhermes-en
component:openhermes:evol-v2,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct;hf:schneiderkamplab/dfm8-openhermes-da;hf:schneiderkamplab/dfm8-openhermes-en
component:openhermes:evol70,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct;hf:schneiderkamplab/dfm8-openhermes-da;hf:schneiderkamplab/dfm8-openhermes-en
component:openhermes:glaive,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct;hf:schneiderkamplab/dfm8-openhermes-da;hf:schneiderkamplab/dfm8-openhermes-en
component:openhermes:gpt4-comparison,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct;hf:schneiderkamplab/dfm8-openhermes-da;hf:schneiderkamplab/dfm8-openhermes-en
component:openhermes:gpteacher,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct;hf:schneiderkamplab/dfm8-openhermes-da;hf:schneiderkamplab/dfm8-openhermes-en
component:openhermes:lmsys1m,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct;hf:schneiderkamplab/dfm8-openhermes-da;hf:schneiderkamplab/dfm8-openhermes-en
component:openhermes:metamath,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct;hf:schneiderkamplab/dfm8-openhermes-da;hf:schneiderkamplab/dfm8-openhermes-en
component:openhermes:platypus,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct;hf:schneiderkamplab/dfm8-openhermes-da;hf:schneiderkamplab/dfm8-openhermes-en
component:openhermes:slimorca,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct;hf:schneiderkamplab/dfm8-openhermes-da;hf:schneiderkamplab/dfm8-openhermes-en
component:openhermes:teknium-custom,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct;hf:schneiderkamplab/dfm8-openhermes-da;hf:schneiderkamplab/dfm8-openhermes-en
component:openhermes:unnatural,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct;hf:schneiderkamplab/dfm8-openhermes-da;hf:schneiderkamplab/dfm8-openhermes-en
component:sapient-factual:boolq,cleared,no,1,hf:sapientinc/HRM-Text-data-io-cleaned-20260515
component:sapient-factual:coqa,cleared,no,1,hf:sapientinc/HRM-Text-data-io-cleaned-20260515
component:sapient-factual:dream,cleared,no,1,hf:sapientinc/HRM-Text-data-io-cleaned-20260515
component:sapient-factual:drop,cleared,no,1,hf:sapientinc/HRM-Text-data-io-cleaned-20260515
component:sapient-factual:hotpotqa,cleared,no,1,hf:sapientinc/HRM-Text-data-io-cleaned-20260515
component:sapient-factual:natural-questions,cleared,no,1,hf:sapientinc/HRM-Text-data-io-cleaned-20260515
component:sapient-factual:quac,cleared,no,1,hf:sapientinc/HRM-Text-data-io-cleaned-20260515
component:sapient-factual:race,cleared,no,1,hf:sapientinc/HRM-Text-data-io-cleaned-20260515
